StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,DemographicQ1,DemographicQ2,DemographicQ2_5_TEXT,DemographicQ3,DemographicQ4,DemographicQ5,SmellsQ1,SmellsQ2_1,SmellsQ2_2,SmellsQ2_3,SmellsQ2_4,SmellsQ2_5,SmellsQ2_6,SmellsQ2_7,SmellsQ2_8,SmellsQ2_9,SmellsQ2_10,SmellsQ2_11,SmellsQ3_1,SmellsQ3_2,SmellsQ3_3,SmellsQ3_4,SmellsQ3_5,SmellsQ3_6,SmellsQ3_7,SmellsQ3_8,SmellsQ3_9,SmellsQ3_10,SmellsQ3_11,SmellQ1,SmellQ2,SmellQ3,SmellQ4,SmellQ5,Smell2Q1,Smell2Q2,Smell2Q3,Smell2Q4,Smell2Q5,AdditionalsQ1,smell,description,example,solution,smell2,description2,example2,solution2
2022-06-14 18:28:04,2022-06-14 18:28:21,IP Address,4,17,False,2022-06-21 18:28:22,R_2amzOPk89MBiira,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21 19:12:20,2022-06-21 19:18:45,IP Address,100,384,True,2022-06-21 19:18:46,R_BLM5r4l3g1ZcjTj,anonymous,EN,Canada,Developer,,<1 year,"JavaScript,Python","MongoDB Node.js Driver,Mongoose","Storage of empty values,Human readable values,Too long document keys",Never,Never,Regularly - I see them as recurring problems in our projects.,Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,Sometimes - I observed them only in few projects and commits.,Never,Never,No – I would not refactor it,No – I would not refactor it,"Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Yes, it fixes the problem.",,"Depends on the application, I believe that if you are using noSQL database that you should stay away from using it relational as there is better databases out there that will handle relationships more efficiently. ",No,,"Yes, it fixes the problem.",,"No the suggested solution is what I have been tought and continue to use, We stay away from transactions if possible.",No,,,Separating data accessed together,"<p>Normalizing and splitting data into separate tables is natural in relational databases. However, MongoDB allows embedding documents to represent 1-1 or 1-N relationships. This allows better performances by avoiding the <code>$lookup</code> operator (like a join in SQL), which is slow and resource-intensive. Read more <a href=""https://www.mongodb.com/developer/article/schema-design-anti-pattern-separating-data/"" target=""_blank"">here</a>.</p>","<p>Suppose the following collections:</p>
<pre><code>db={
  ""countries"": [
    {
      ""_id"": 1,
      ""name"": ""Switzerland""
    },
    {
      ""_id"": 2,
      ""name"": ""Austria""
    },
    {
      ""_id"": 3,
      ""name"": ""Belgium""
    }
  ],
  ""cities"": [
    {
      ""_id"": 1,
      ""name"": ""Bruxelles"",
      ""country"": 3
    },
    {
      ""_id"": 2,
      ""name"": ""Namur"",
      ""country"": 3
    },
    {
      ""_id"": 3,
      ""name"": ""Zurich"",
      ""country"": 1
    },
    {
      ""_id"": 4,
      ""name"": ""Vienna"",
      ""country"": 2
    }
  ]
}</code></pre>

<p>To query the countries' cities, one needs to do a <code>$lookup</code> that would become inefficient with more data:</p>

<pre><code>db.countries.aggregate([
  {
    ""$lookup"": {
      ""from"": ""cities"",
      ""localField"": ""_id"",
      ""foreignField"": ""country"",
      ""as"": ""country_cities""
    }
  }
])</code></pre>","The cities could be stored together with the countries as follows:
<pre><code>[
  {
    ""_id"": 1,
    ""name"": ""Switzerland"",
    ""cities"": [
      {
        ""_id"": 3,
        ""name"": ""Zurich""
      }
    ]
  },
  {
    ""_id"": 2,
    ""name"": ""Austria""
    ""cities"": [
      {
        ""_id"": 4,
        ""name"": ""Vienna""
      }
    ]
  },
  {
    ""_id"": 3,
    ""name"": ""Belgium"",
    ""cities"": [
      {
        ""_id"": 1,
        ""name"": ""Bruxelles""
      },
      {
        ""_id"": 2,
        ""name"": ""Namur""
      }
    ]
  }
]</code></pre>",Relying on transactions,"<p>Transactions ensure data integrity in relational databases.
MongoDB has transactions too, but relying on them is a bad design smell.
Their usage is a sign of breaking up data between multiple collections, which is against the fundamental MongoDB principle:<i> data that is accessed together should be stored together</i>.
Read more <a href=""https://www.mongodb.com/developer/article/3-things-to-know-switch-from-sql-mongodb/#sql-tread-carefully-transactions"" target=""_blank"">here</a>.</p>","<p>The following code snippet with a transaction indicates that users and their jobs are unnecessary broken to separate collections.</p>
<pre><code>try {
  await session.withTransaction(async () => {
      const users = db.users;
      const jobs = db.jobs;
      const doc_id = await users.insertOne({""firstname"": ""Ada"", ""surname"": ""Lovelace""}, { session }).insertedId;
      await jobs.insertOne({""user_id"": doc_id, ""entitled"": ""Programmer""}, { session });
  });
} finally {
    await session.endSession();
    await client.close();
}</code></pre>","<p>The job collection should be embedded into the user:</p>

<pre><code>db={
  ""users"": [
    {
      ""_id"": 1,
      ""firstname"": ""John"",
      ""surname"": ""Doe"",
      ""job"": ""Farmer""
    },
    {
      ""_id"": 2,
      ""firstname"": ""Alan"",
      ""surname"": ""Turing"",
      ""job"": ""Postdoctoral assistant""
    },
    {
      ""_id"": 3,
      ""firstname"": ""Charles"",
      ""surname"": ""Babbage"",
      ""job"": ""Professor""
    }
  ]
}</pre></code>

<p>Inserting a new user can be achieved with a single operation:</p>
<pre><code>db.users.insert({""firstname"": ""Ada"", ""surname"": ""Lovelace"", ""job"": ""Programmer""})</code></pre>"
2022-06-14 20:37:16,2022-06-14 20:59:25,IP Address,38,1328,False,2022-06-21 20:59:31,R_3Nyq3KYTeW1SPcx,anonymous,EN,United States of America,Architect,,3-4 years,"Java,JavaScript,Python,Other","MongoDB Java Driver,MongoDB Node.js Driver",Storage of empty values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16 05:15:36,2022-06-16 05:26:26,IP Address,38,650,False,,FS_xhmA7wsPc3OOHtv,anonymous,EN,Switzerland,Developer,,3-4 years,JavaScript,MongoDB Node.js Driver,"Storage of empty values,Too long document keys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16 05:22:18,2022-06-16 05:28:04,IP Address,58,346,False,,FS_D8dxa3UlhHtBTUd,anonymous,EN,Switzerland,Developer,,3-4 years,"Java,JavaScript","MongoDB Java Driver,MongoDB Node.js Driver,Mongoose","Use of relational collections,Relying on transactions,Too long attribute name,Too long document keys,Abusive use of indexes",Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,"Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it",No – I would not refactor it,"Somewhat – Yes, but I would not refactor it",No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,No – I would not refactor it,"Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it","Yes, but it's a partial fix to the problem.",,,,,,,,,,,Abusive use of indexes,"<p>Indexes in MongoDB are powerful and necessary to improve query performance, but their maintenance requires resources. Too many unnecessary indexes can take too much storage and increase CPU usage.

Read more <a href=""https://www.mongodb.com/developer/article/schema-design-anti-pattern-unnecessary-indexes/"" target=""_blank"">here</a>.</p>","<p>Suppose a collection with several attributes where each attribute has an index; however, the collection is searched through only a few attributes.</p>",<p>Remove the indices of the attributes which are not used to search for documents in the collection.</p>,,,,
2022-06-16 05:50:52,2022-06-16 05:50:55,IP Address,4,3,False,,FS_2qt6kChsG0bedxb,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16 06:12:00,2022-06-16 06:24:51,IP Address,31,770,False,,FS_1ikSxGLC86xVgXK,anonymous,EN,Belgium,Other,Researcher,1-2 years,"Java,JavaScript","MongoDB Java Driver,MongoDB Node.js Driver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16 10:11:23,2022-06-16 10:11:29,IP Address,4,5,False,,FS_vuw2c5TEFKVcR45,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-17 05:58:08,2022-06-17 06:01:12,IP Address,31,184,False,,FS_dmporZfixoN1Ket,anonymous,EN,Switzerland,Other,PhD Student,5-7 years,"JavaScript,Python",PyMongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-18 10:05:51,2022-06-18 10:06:09,IP Address,4,17,False,,FS_1NlfcrZj0Lm5bSv,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21 21:41:49,2022-06-21 21:43:32,IP Address,38,102,False,,FS_2uVw7QdCsaTGy55,anonymous,EN,United States of America,Developer,,1-2 years,"C/C++,Java,JavaScript,Python","MongoDB Java Driver,MongoDB Node.js Driver,Mongoose,Other",Abusive use of indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22 10:27:36,2022-06-22 10:27:52,IP Address,4,15,False,,FS_d0DcDoruOEXxRzb,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
